index,mean,std,5%,50%,95%,pid
discount_factor,0.9000000000000002,2.221557105636704e-16,0.9,0.9,0.9,zme37vc9wofyob5ygwg77w0v
temp,1.3927218995392323,1.9115799794940742,-2.7884212374687194,1.617038607597351,4.379533171653746,14skiah5qm3ww7zuzgf49l0o
lapse,0.5138700222074986,0.7164297342377619,-0.7697161108255386,0.5996874570846558,1.6585702061653136,14skiah5qm3ww7zuzgf49l0o
aligned_weight,0.6968721878416836,0.5673016678202866,-0.23067975044250488,0.6748434901237488,1.6776020646095275,14skiah5qm3ww7zuzgf49l0o
orthogonal_weight,0.554866236358881,0.4200852191583511,-0.24270521104335785,0.6115408837795258,1.0381198942661283,14skiah5qm3ww7zuzgf49l0o
horizon,1.3692197761535645,1.436673067926629,-0.9375499129295347,1.3908817768096924,3.8595883727073628,14skiah5qm3ww7zuzgf49l0o
n_samples,500.0,0.0,500.0,500.0,500.0,14skiah5qm3ww7zuzgf49l0o
exploration_constant,3.0,0.0,3.0,3.0,3.0,14skiah5qm3ww7zuzgf49l0o
discount_factor,0.9000000000000002,2.221557105636704e-16,0.9,0.9,0.9,14skiah5qm3ww7zuzgf49l0o
temp,1.2950169970691203,1.9799702940718724,-2.7527629733085632,1.5408365726470947,4.095257663726806,k5e08r4r7ogfqdpu4fsj6b39
lapse,0.5138416653722525,0.7460474688761092,-0.8559527784585953,0.6340135037899017,1.732617151737213,k5e08r4r7ogfqdpu4fsj6b39
aligned_weight,0.7212547674253583,0.5325370147627113,-0.06677910089492796,0.6909521818161011,1.726309466361999,k5e08r4r7ogfqdpu4fsj6b39
orthogonal_weight,0.5689424719512463,0.40726270692731187,-0.12131253182888031,0.6058427393436432,1.0870425522327392,k5e08r4r7ogfqdpu4fsj6b39
horizon,1.442844123005867,1.4159435218981722,-0.9576266705989837,1.4182533621788025,4.126474905014038,k5e08r4r7ogfqdpu4fsj6b39
n_samples,500.0,0.0,500.0,500.0,500.0,k5e08r4r7ogfqdpu4fsj6b39
exploration_constant,3.0,0.0,3.0,3.0,3.0,k5e08r4r7ogfqdpu4fsj6b39
discount_factor,0.9000000000000002,2.221557105636704e-16,0.9,0.9,0.9,k5e08r4r7ogfqdpu4fsj6b39
temp,1.2800318262577057,2.066724178363481,-3.218376040458679,1.5851227641105652,4.065653777122497,srp1s3jfvw5fpkxyjzqfzs67
lapse,0.5110393559783697,0.7148303797395432,-0.8090525537729263,0.6067323684692383,1.6436961829662322,srp1s3jfvw5fpkxyjzqfzs67
aligned_weight,0.6616925064101815,0.5814595705202399,-0.29096679091453553,0.6829842627048492,1.610730141401291,srp1s3jfvw5fpkxyjzqfzs67
orthogonal_weight,0.5201869973838329,0.4319511758232374,-0.2358195126056671,0.5911861062049866,1.000508201122284,srp1s3jfvw5fpkxyjzqfzs67
horizon,1.3923073711395264,1.5205869530113185,-0.9897952258586883,1.3877349495887756,4.108277177810666,srp1s3jfvw5fpkxyjzqfzs67
n_samples,500.0,0.0,500.0,500.0,500.0,srp1s3jfvw5fpkxyjzqfzs67
exploration_constant,3.0,0.0,3.0,3.0,3.0,srp1s3jfvw5fpkxyjzqfzs67
discount_factor,0.9000000000000002,2.221557105636704e-16,0.9,0.9,0.9,srp1s3jfvw5fpkxyjzqfzs67
temp,1.2558010091483593,2.0863868497869547,-3.1580747604370116,1.534856379032135,4.234066462516784,clyhfukqqcr9yw7ibctjvyzr
lapse,0.4867256134003401,0.7196499742791295,-0.8801660299301147,0.611658126115799,1.6097449719905847,clyhfukqqcr9yw7ibctjvyzr
aligned_weight,0.6913089800179004,0.5845081801315093,-0.28131802082061763,0.6860308051109314,1.7448512494564052,clyhfukqqcr9yw7ibctjvyzr
orthogonal_weight,0.5620266703665256,0.45207051517164676,-0.1491739630699157,0.6204489469528198,1.091350656747818,clyhfukqqcr9yw7ibctjvyzr
horizon,1.4214867072105408,1.3233891309888857,-0.7328925728797911,1.3991603255271912,3.865731370449065,clyhfukqqcr9yw7ibctjvyzr
